"idamv";"tipofuncao";"L1";"L2";"L3";"L4";"L5";"L6";"L7";"L9";"L10";"tower";"interface";"L14";"L15";"L16";"L17";"L18";"L20";"L21";"L22";"L23"
3;"NWP";"";"B-C-10";"";"";"";"";"";"";"";"TB2-E-58";"2-B20-27";"";"C-C-30";"";"";"";"";"";"";""
3;"NWR";"";"B-C-02";"";"";"";"";"";"";"";"TB2-E-56";"2-B20-23";"";"C-C-26";"";"";"";"";"";"";""
3;"WP";"";"B-C-08";"";"";"";"";"";"";"";"TB2-E-57";"2-B20-26";"";"C-C-28";"";"";"";"";"";"";""
3;"WR";"";"B-C-04";"";"";"";"";"";"";"";"TB2-E-55";"2-B20-21";"";"C-C-24";"";"";"";"";"";"";""
7;"NWP";"";"";"";"B-B-02";"C-A-17";"";"";"";"";"TB2-E-50";"2-B21-27";"";"";"";"";"";"";"";"";""
7;"NWR";"";"";"";"B-B-29";"C-A-13";"";"";"";"";"TB2-E-48";"2-B21-23";"";"";"";"";"";"";"";"";""
7;"WP";"";"";"";"B-B-33";"C-A-15";"";"";"";"";"TB2-E-49";"2-B21-26";"";"";"";"";"";"";"";"";""
7;"WR";"";"";"";"B-B-25";"C-A-11";"";"";"";"";"TB2-E-47";"2-B21-22";"";"";"";"";"";"";"";"";""
9;"NWP";"";"";"";"B-B-15";"";"";"";"";"";"";"2-B22-27";"";"";"";"";"";"";"";"";""
9;"NWR";"";"";"";"B-B-13";"";"";"";"";"";"";"2-B22-23";"";"";"";"";"";"";"";"";""
9;"WP";"";"";"";"B-B-09";"";"";"";"";"";"";"2-B22-26";"";"";"";"";"";"";"";"";""
9;"WR";"";"";"";"B-B-11";"";"";"";"";"";"";"2-B22-22";"";"";"";"";"";"";"";"";""
11;"NWP";"";"";"";"";"";"B-B-29";"";"";"";"TB2-E-42";"2-B23-27";"";"";"";"";"";"";"";"";""
11;"NWR";"";"";"";"";"";"B-B-39";"";"";"";"TB2-E-40";"2-B23-23";"";"";"";"";"";"";"";"";""
11;"WP";"";"";"";"";"";"B-B-27";"";"";"";"TB2-E-41";"2-B23-26";"";"";"";"";"";"";"";"";""
11;"WR";"";"";"";"";"";"B-C-21";"";"";"";"TB2-E-39";"2-B23-21";"";"";"";"";"";"";"";"";""
25;"NWP";"";"";"";"";"";"";"";"";"";"TBX-X-XX";"2-B54-27";"B-C-07";"B-Y-12";"";"";"";"";"";"";""
25;"NWR";"";"";"";"";"";"";"";"";"";"TB3-C-54";"2-B54-23";"B-C-03";"B-Y-10";"";"";"";"";"";"";""
25;"WP";"";"";"";"";"";"";"";"";"";"TBX-X-XX";"2-B54-26";"B-C-05";"B-Y-11";"";"";"";"";"";"";""
25;"WR";"";"";"";"";"";"";"";"";"";"TB3-C-53";"2-B54-21";"B-C-01";"B-Y-09";"";"";"";"";"";"";""
27;"NWP";"";"";"";"";"";"";"";"";"";"TB3-C-60";"2-B52-27";"B-C-07";"B-Y-22";"";"";"";"";"";"";""
27;"NWR";"";"";"";"";"";"";"";"";"";"TB3-C-58";"2-B52-23";"B-C-04";"B-Y-20";"";"";"";"";"";"";""
27;"WP";"";"";"";"";"";"";"";"";"";"TB3-C-59";"2-B52-26";"B-C-05";"B-Y-21";"";"";"";"";"";"";""
27;"WR";"";"";"";"";"";"";"";"";"";"TB3-C-57";"2-B52-21";"B-C-02";"B-Y-19";"";"";"";"";"";"";""
29;"NWP";"";"";"";"";"";"";"";"";"";"TB3-E-55";"2-B53-27";"";"";"";"";"";"";"B-B-34";"";""
29;"NWR";"";"";"";"";"";"";"";"";"";"TB3-E-51";"2-B53-23";"";"";"";"";"";"";"B-B-28";"";""
29;"WP";"";"";"";"";"";"";"";"";"";"TB3-E-56";"2-B53-26";"";"";"";"";"";"";"B-B-32";"";""
29;"WR";"";"";"";"";"";"";"";"";"";"TB3-E-50";"2-B53-22";"";"";"";"";"";"";"B-C-24";"";""
31;"NWP";"";"";"";"";"";"";"";"";"";"TB4-C-09";"2-B42-27";"";"";"";"B-D-XX";"C-C-XX";"";"B-C-12";"";""
31;"NWR";"";"";"";"";"";"";"";"";"";"TB4-C-07";"2-B42-23";"";"";"";"B-D-03";"B-C-03";"";"B-C-06";"";""
31;"WP";"";"";"";"";"";"";"";"";"";"TB4-C-08";"2-B42-26";"";"";"";"B-D-XX";"C-C-XX";"";"B-C-10";"";""
31;"WR";"";"";"";"";"";"";"";"";"";"TB4-C-06";"2-B42-22";"";"";"";"B-D-01";"B-C-01";"";"B-C-02";"";""
39;"NWP";"";"";"";"";"";"";"";"";"";"TB4-B-45";"2-B61-27";"";"";"";"C-B-15";"C-B-15";"";"B-C-31";"";""
39;"NWR";"";"";"";"";"";"";"";"";"";"TB4-B-43";"2-B62-23";"";"";"";"C-B-11";"C-B-11";"";"B-C-28";"";""
39;"WP";"";"";"";"";"";"";"";"";"";"TB4-B-44";"2-B61-26";"";"";"";"C-B-13";"C-B-13";"";"B-C-29";"";""
39;"WR";"";"";"";"";"";"";"";"";"";"TB4-B-42";"2-B62-22";"";"";"";"C-B-09";"C-B-09";"";"B-C-21";"";""
43;"NWP";"";"";"";"";"";"";"";"B-Y-12";"B-B-12";"TB1-C-42";"2-B21-31";"";"";"";"";"";"";"";"";""
43;"NWR";"";"";"";"";"";"";"";"B-Y-10";"B-B-06";"TB3-B-02";"2-B20-31";"";"";"";"";"";"";"";"";""
43;"WP";"";"";"";"";"";"";"";"B-Y-11";"B-B-10";"TB1-C-40";"2-B21-30";"";"";"";"";"";"";"";"";""
43;"WR";"";"";"";"";"";"";"";"B-Y-09";"B-B-02";"TB3-B-01";"2-B20-29";"";"";"";"";"";"";"";"";""
47;"NWP";"";"";"";"";"";"";"";"B-Y-22";"B-B-39";"TBB-B-04";"2-B23-31";"";"";"";"";"";"";"";"";""
47;"NWR";"";"";"";"";"";"";"";"B-y-20";"B-B-35";"TBB-B-02";"2-B22-31";"";"";"";"";"";"";"";"";""
47;"WP";"";"";"";"";"";"";"";"B-Y-21";"B-B-37";"TBB-B-03";"2-B23-30";"";"";"";"";"";"";"";"";""
47;"WR";"";"";"";"";"";"";"";"B-Y-19";"B-B-33";"TBB-B-01";"2-B22-29";"";"";"";"";"";"";"";"";""
